VENDOR NAME,VENDOR WEBSITE,CATEGORY (category_id)
Derm Store,https://www.dermstore.com/account/order_status.php,4
Destination XL,http://www.destinationxl.com/mens-big-and-tall-store/integrations/ecomtery/orderTracking.jsp,4
Dhsmv,https://www.flhsmv.gov/,4
Dicks Sporting Goods,https://www.dickssportinggoods.com,4
Digi Key,https://www.digikey.com,4
Dillards,https://www.dillards.com/c/faqs-notices-policies,4
Directv,http://www.directv.com/DTVAPP/global/contentPageNR.jsp?assetId=P4720072,4
DLA,http://www.dla.mil/CustomerSupport/Resources/Self-Help/Tracking/,4
Doordash,https://www.doordash.com,4
Dr Leonards,https://www.drleonards.com/account/index.cfm?fuseaction=osMain,4
Drs Foster Smith,https://secure.drsfostersmith.com/tracking/,4
Dsw,https://www.dsw.com,4
E Supplements,http://www.esupplements.com/faq/,4
Eastbay,https://www.eastbay.com/customerserv/help:trackOrder/,4
Eat 24,https://eat24.com/,4
Ebay,http://ebay.com,4
Edible Arrangements,https://www.ediblearrangements.com/,4
ELF Cosmetics,https://www.elfcosmetics.com/account/orders,4
Entirely Pets,https://www.entirelypets.com/ordertracking-ep.html,4
Evo,https://www.evo.com/shipping/track-order,4
Eye Buy Direct,https://www.eyebuydirect.com/order-tracking,4
Factory Outlet Store,https://jb.factoryoutletstore.com/Website/FAQ.aspx,4
Fanatics,https://fanatics2.custhelp.com/app/answers/detail/a_id/519,4
Fans edge,https://www.fansedge.com/track-order,4
Fashion Mia,https://www.fashionmia.com/OrderTracking.html,4
Fingerhut,https://www.fingerhut.com/,4
Finish Line,https://www.finishline.com/,4
Fitbit,https://www.fitbit.com,4
Flesh Light,https://www.fleshlight.com/,4
Food Network Store,http://www.foodnetwork.com,4
Foot Action,https://www.footaction.com,4
Foot Locker,https://www.footlocker.com/,4
For You Flowers,http://www.foryouflowers.net/,4
Forever New,https://forevernew.com/,4
Fossil,https://www.fossil.com/us/en/customer-care/order-status.html,4
Free People,https://www.freepeople.com/,4
FTD,https://www.ftd.com/order-status,4
Game Stop,https://www.gamestop.com/Profiles/OrderTrackingLogin.aspx,4
Gamefly,https://www.gamefly.com,4
Gap,http://www.gap.com/customerService/info.do?cid=81266,4
GapInc,http://gapinc.com,4
Gazelle,https://www.gazelle.com/login,4
Gilt,http://gilt.com,4
