VENDOR NAME,VENDOR WEBSITE,CATEGORY (category_id)
Saks,https://www.saksfifthavenue.com/account/order-history?bmUID=jqu_K5w,4
Sally Beauty Holdings,http://www.sallybeautyholdings.com/,4
Sammy Dress,https://www.sammydress.com/m-article-id-40.htm,4
Samsung Repair,www.samsung.com/service/,4
Scentsy,https://scentsy.com/,4
Seamless,https://www.seamless.com,4
Sears,http://www.sears.com/,4
Seventh Avenue,https://www.seventhavenue.com/mobile/user/search_order.jsp,4
Shakeology,http://www.shakeology.com/en_US/,4
She Inside,http://www.shein.com/,4
Sheplers,http://www.sheplers.com,4
Shoe Buy,https://www.shoes.com/,4
Shoe Dazzle,http://help.shoedazzle.com/Shipping-and-Returns/64629068/Can-I-track-my-order.htm,4
Shop,https://www.shop.com/,4
Shop Crocs,http://www.crocs.com,4
Shoplet,https://www.shoplet.com/help/order_tracking,4
Shredz,https://shredz.com/help,4
Sierra Trading Post,https://www.sierratradingpost.com/,4
Sigma Aldrich,http://www.sigmaaldrich.com,4
Soccer.com,https://www.soccer.com/,4
Soma,https://www.soma.com,4
Soufeel,https://www.soufeel.com/,4
Spencers,http://www.spencersonline.com/content.jsp?pageName=TrckOrder,4
Sportsmans,https://www.sportsmanswarehouse.co.za/track-and-trace,4
Staples,https://www.staples.com/,4
Star Bucks,http://www.starbucks.com,4
Steam,http://store.steampowered.com/,4
Steve Madden,https://www.stevemadden.com,4
Stoneberry,https://www.stoneberry.com/customer-service/faqs/order-status-shipping-and-tracking/_/N-0Z12zuaj7,4
Successories,https://www.successories.com/,4
Sulekha,https://www.sulekha.com/,4
Sun Frog Shirts,https://www.sunfrog.com/,4
Swiss Colony,https://www.swisscolony.com/,4
Target,https://www.target.com,4
TCP Global,http://www.tcpglobal.com/Support_7/,4
Team Beach Body,http://tbbrecognition.com/track-your-order/,4
Tele Flora,http://www.teleflora.com/info/faq,4
TH Motor Sports,https://thmotorsports.com/,4
That Pet Place,http://www.thatpetplace.com/,4
The Human Solutions,https://www.thehumansolution.com/,4
The Paper Mill Store,https://www.thepapermillstore.com/,4
Ticket Master,http://www.ticketmaster.com/,4
Tiffany,http://www.tiffany.com/,4
Tillys,https://www.tillys.com,4
Timberland,https://www.timberland.com/customer-service/shipping/track-order.html,4
Tmart,http://www.tmart.com/,4
Tomtop,https://www.tomtop.com/,4
Too Faced,https://www.toofaced.com/,4
Torrid,http://www.torrid.com/,4
Tower Hobbies,http://www.towerhobbies.com/order-status.html,4
Toy Wiz,https://toywiz.com/track-your-package/,4
Toys R Us,https://www.toysrus.com/,4
Tractor Supply,https://www.tractorsupply.com/OrderLookUpView,4
Travelsmith,https://www.travelsmith.com/category/customer-care/order-status.do,4
